"	ensure","37","98","158","48","22","14","25","14","25","58","129","37","47","84","46","30","42","33","31","29","28","29","59","35","88","20","23","34","22","28","17","44","35","35","33","21","16","41","53","55","45","39","41","32","39","8","16","7","46","80","32","31","71","32","21","42","38","24","13","26","19","21","41","15","35","37","50","24","15","43","42","34","41","49","27","18","28","12","19","16","10","27","8","3","8","3","13","16","0","4","0"
"	tikingon","9","10","13","15","12","19","16","17","70","21","49","79","58","42","58","13","20","4","7","0","8","14","10","23","64","34","59","40","2","6","15","36","85","27","82","61","65","46","38","56","11","4","5","16","17","38","16","15","14","23","2","6","21","34","2","14","11","16","9","8","20","4","5","2","2","3","7","4","6","18","10","39","32","15","44","51","61","40","17","5","28","31","22","101","194","54","82","125","27","7","1"
"	th true milk","17","15","4","6","3","3","9","3","36","10","19","13","10","21","14","12","17","175","92","89","70","26","67","20","39","48","9","21","12","18","8","13","7","11","16","27","14","18","24","64","19","18","9","29","68","40","14","5","10","15","8","5","14","32","27","15","17","28","28","11","16","11","6","11","10","11","18","13","12","52","30","48","39","29","13","21","35","8","51","16","45","124","111","20","19","21","18","48","14","29","7"
"	cherry","12","16","10","28","38","14","18","23","27","11","24","54","27","40","16","21","15","7","6","28","15","18","20","30","24","34","17","17","25","23","17","11","12","15","18","21","12","5","20","15","63","22","13","11","41","13","12","12","5","12","4","9","32","26","7","16","11","11","27","50","32","22","20","16","20","36","17","21","19","50","18","21","61","24","29","29","19","46","45","58","47","52","54","32","16","29","59","13","49","18","2"
"	chân gà rút xương","23","17","7","10","9","18","23","11","32","22","24","42","21","14","17","46","39","18","36","34","17","31","19","30","34","42","22","22","35","45","17","33","32","58","39","32","28","37","34","27","25","31","28","26","31","44","50","32","28","14","30","21","31","23","18","23","25","12","26","38","21","16","24","20","25","21","22","19","8","9","10","15","8","28","7","23","4","23","18","9","16","19","22","17","5","9","8","13","7","9","0"
"	grove fresh","24","14","32","8","9","17","14","11","31","15","97","59","29","38","23","36","5","6","21","5","18","14","25","20","71","46","24","37","64","19","36","27","23","35","31","14","28","7","149","55","49","51","35","29","22","11","18","4","10","21","12","28","25","17","8","16","16","9","4","10","3","5","10","10","4","9","18","4","5","11","16","12","14","16","9","5","9","10","20","17","18","29","11","15","10","18","16","13","8","10","3"
"	ức gà","30","32","20","8","4","12","33","7","45","19","25","17","16","26","9","24","12","15","33","24","9","16","33","22","9","11","38","17","28","8","7","12","17","54","34","31","12","25","12","24","13","21","6","24","18","26","22","31","25","11","15","37","35","19","23","24","20","10","26","35","9","24","35","8","32","13","21","10","17","14","11","25","10","13","32","14","19","9","32","27","23","28","12","34","34","21","15","22","11","8","8"
"	dầu ăn","19","16","13","15","1","12","18","32","28","71","22","65","45","46","30","29","28","15","22","28","12","11","25","35","73","32","27","22","18","8","18","10","9","23","16","16","14","15","48","38","30","20","27","40","36","7","20","15","19","19","17","2","18","6","31","5","11","5","11","3","6","19","20","9","4","11","7","11","18","16","25","9","16","46","37","45","13","19","33","10","10","17","13","11","10","25","0","9","7","14","2"
"	tiki ngon hcm","30","5","24","32","29","10","25","22","9","11","27","7","2","5","6","5","14","5","12","19","1","12","5","3","6","5","9","21","30","26","12","22","41","14","79","14","30","41","35","42","12","13","43","55","31","13","31","23","21","29","8","13","15","16","35","25","13","20","17","10","16","23","21","16","12","21","23","22","8","11","30","14","16","34","8","19","17","19","9","46","20","11","30","39","56","35","36","14","5","7","13"
"	warrior","3","28","69","6","0","2","10","38","6","42","144","119","25","23","3","0","7","1","0","1","0","3","7","0","5","1","3","5","0","10","0","0","56","3","13","82","6","21","13","5","0","0","1","15","86","5","0","1","14","4","0","0","8","4","153","5","94","64","6","9","2","5","7","3","3","1","2","8","4","4","52","4","13","9","27","26","75","0","74","17","30","96","29","38","0","7","10","8","28","5","2"
"	bia heineken","119","166","139","124","57","75","52","39","65","37","10","6","12","17","14","21","4","4","2","4","3","11","6","9","29","35","9","28","37","17","48","29","29","15","27","10","19","29","20","3","7","4","7","5","16","7","4","1","3","4","5","8","6","2","6","5","8","8","3","6","12","2","5","9","15","5","4","1","7","7","13","24","4","25","15","11","17","17","14","2","3","1","1","0","12","3","2","1","12","9","0"
"	cá hồi","15","7","18","7","6","28","10","19","21","40","12","36","11","23","22","18","21","9","6","11","18","22","6","92","17","50","24","14","39","28","25","35","18","63","25","40","38","12","22","21","10","16","21","17","16","23","20","5","6","16","11","7","20","26","16","16","7","32","28","14","24","20","9","15","21","9","13","13","19","20","14","9","16","18","16","5","14","36","11","12","17","11","3","26","13","12","15","16","11","25","1"
"	nho","7","15","1","21","21","10","16","2","3","7","9","29","6","27","17","21","23","43","14","8","19","20","16","17","10","16","8","14","13","24","25","35","6","18","10","10","8","15","37","20","17","9","25","25","31","39","19","31","18","33","43","11","21","38","25","24","38","20","29","31","16","10","12","30","32","37","15","26","16","31","13","10","14","17","12","7","31","8","15","14","12","31","19","18","28","12","12","14","17","17","5"
"	gà ủ muối","9","5","11","11","17","23","13","20","15","14","13","26","20","25","25","25","45","19","37","29","18","39","20","26","20","24","8","23","12","25","5","19","34","11","11","30","40","18","34","25","29","27","35","22","13","13","2","17","22","15","10","22","27","37","14","24","8","21","11","12","12","14","16","10","13","25","13","4","13","29","10","11","21","3","11","3","11","21","16","9","17","27","6","20","9","9","18","20","24","12","0"
"	bánh trung thu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","7","3","0","1","0","0","0","0","2","0","6","0","0","1","1","1","0","1","2","1","1","9","1","14","1","2","5","4","3","4","5","1","5","23","3","9","6","10","20","14","10","30","45","33","19","33","18","47","73","171","193","130","129","68","43","65","66","84","76","114","32"
"	gạo","14","15","6","22","10","17","15","8","16","8","21","25","26","54","22","13","7","6","12","13","9","7","10","9","16","49","4","11","12","23","3","14","35","28","15","20","15","5","21","36","22","19","26","17","31","7","13","23","14","16","21","11","9","18","15","11","13","26","17","10","14","12","37","12","7","14","44","12","21","21","26","16","19","7","12","34","12","19","15","9","61","27","36","12","12","11","16","12","11","18","0"
"	gạo a an","3","2","5","10","2","1","4","4","2","5","22","51","33","14","6","17","11","1","1","1","9","10","4","2","68","75","24","9","3","3","0","2","2","5","4","15","6","3","46","59","32","32","11","9","13","10","20","2","9","16","26","21","51","51","67","25","33","26","16","12","32","13","18","41","18","20","20","12","0","12","11","12","8","12","5","4","16","18","53","8","41","62","35","10","22","17","7","10","13","6","3"
"	homefarm","22","9","3","9","5","8","7","10","3","5","4","7","4","7","3","12","2","3","4","10","2","11","21","10","2","13","4","4","11","11","10","5","3","2","6","2","6","5","11","7","6","37","25","25","157","112","115","96","90","78","96","58","37","58","5","24","23","24","16","11","16","3","7","17","8","4","9","8","4","2","6","1","8","6","6","4","6","0","2","2","2","7","5","0","2","12","2","2","4","9","1"
"	big c thăng long","32","38","26","33","47","15","6","4","18","13","41","17","28","21","5","14","4","12","10","9","19","23","19","15","32","26","20","20","6","12","25","6","9","23","13","12","16","26","18","26","31","6","7","22","15","9","10","8","3","10","40","27","9","7","7","1","3","0","0","0","4","1","1","2","4","27","15","54","30","42","13","22","13","30","30","18","13","7","16","10","10","7","21","13","18","19","10","3","14","8","8"
"	tiki ngon","7","18","8","21","13","0","13","6","12","6","26","30","31","19","24","5","9","4","16","10","15","24","7","7","45","32","14","17","5","14","8","13","48","12","61","52","42","14","14","28","15","9","11","7","39","10","9","22","17","15","6","2","22","12","17","6","16","15","6","3","15","2","15","2","1","7","5","12","5","15","12","7","6","15","20","17","26","14","5","11","48","13","25","13","44","20","19","19","20","3","0"
"	vải thiều","12","3","10","22","20","18","23","14","18","41","26","17","25","22","20","15","8","25","24","30","19","11","21","14","23","29","21","16","20","64","41","46","19","27","41","28","16","47","27","34","35","23","31","14","42","9","32","22","16","10","24","19","16","28","16","4","11","2","11","23","9","5","3","5","2","11","4","1","5","3","0","0","3","3","0","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0"
"	simply","10","4","13","38","20","7","11","21","41","52","105","138","70","40","8","33","32","24","11","31","22","18","29","35","20","11","4","3","2","2","4","26","17","23","11","12","28","6","22","17","7","4","3","8","17","3","1","2","3","20","14","4","8","14","13","12","5","6","9","23","5","3","22","10","6","5","7","2","3","4","12","21","4","12","14","3","5","22","8","5","5","0","3","8","2","3","0","4","0","1","0"
"	big c - miền đông","18","13","12","2","9","5","0","0","8","19","12","10","7","15","9","6","5","6","21","9","2","9","4","6","6","22","11","9","9","27","15","7","21","8","12","17","26","40","19","42","53","70","52","34","71","75","45","29","30","10","28","36","10","9","3","3","7","4","10","7","6","10","11","7","2","14","30","17","6","20","25","4","1","6","8","10","18","3","14","3","10","12","8","6","3","2","3","1","5","11","0"
"	thịt bò","8","7","11","8","13","8","33","27","6","5","19","8","23","9","6","16","3","6","11","15","7","5","4","24","10","30","13","8","8","13","2","2","15","10","8","5","12","48","10","32","5","14","12","8","5","15","5","11","13","16","9","18","18","27","16","21","5","14","16","10","16","28","13","16","20","12","5","17","5","8","26","41","5","25","22","27","13","17","20","2","11","10","6","6","23","14","19","20","6","20","6"
"	tops market","7","5","14","9","0","3","4","4","9","3","1","1","0","12","3","1","4","2","3","4","0","3","2","3","17","9","2","10","16","16","25","13","129","17","8","8","2","2","3","2","8","10","13","4","6","2","5","2","13","11","10","14","10","9","10","4","4","2","7","10","1","2","16","7","5","5","33","19","4","7","9","20","30","217","140","65","17","8","12","6","11","12","7","5","4","6","3","4","7","3","1"
"	dừa","1","2","5","1","11","2","7","8","7","6","15","6","7","6","5","16","11","9","14","11","18","8","12","19","17","7","32","11","6","4","3","14","35","6","13","3","3","6","6","29","16","16","17","9","25","18","16","8","20","11","20","2","10","21","14","5","8","3","13","8","20","8","10","10","7","12","12","5","10","6","9","3","5","17","13","6","34","36","15","11","9","33","23","16","32","13","13","16","13","19","2"
"	go","14","11","34","18","12","5","8","6","4","6","2","14","7","3","7","2","10","7","0","10","3","14","8","7","25","4","6","15","2","5","11","2","4","9","6","7","21","18","5","14","4","9","39","29","21","23","23","15","13","0","10","3","5","11","13","15","4","9","7","8","5","2","4","4","26","32","22","18","38","20","24","19","22","29","15","9","34","11","11","10","19","13","6","8","12","19","4","9","6","13","4"
"	chân gà","2","2","0","7","12","8","12","5","12","4","4","3","26","14","7","43","11","20","23","4","19","22","9","13","19","19","17","17","32","8","22","6","8","22","21","16","20","19","25","32","8","9","7","20","4","18","6","9","8","15","4","14","12","4","6","11","5","12","3","8","32","9","28","6","9","2","4","2","13","7","9","7","3","5","5","3","2","6","3","7","24","3","11","19","22","4","4","11","3","3","1"
"	xúc xích","7","8","11","17","8","5","13","6","16","1","2","11","4","15","3","14","24","11","10","7","13","16","13","14","2","4","11","17","33","6","35","12","24","6","11","6","15","8","6","4","10","9","11","16","16","9","10","5","24","19","21","4","6","17","16","18","10","5","14","11","12","7","7","16","2","5","10","4","7","5","3","0","15","14","14","19","11","13","6","12","18","10","12","5","24","7","26","12","17","15","2"
"	ngon","13","1","6","4","3","2","7","4","0","5","2","6","0","5","9","3","4","69","50","36","12","13","4","5","23","10","9","9","14","5","10","1","13","2","15","7","10","6","9","11","8","3","3","23","27","1","10","5","4","19","14","3","8","10","6","3","16","15","19","25","6","7","9","16","13","13","5","13","12","12","12","4","15","13","10","11","21","12","15","18","9","3","9","28","12","11","11","27","10","12","1"
"	dừa xiêm gọt trọc","0","7","4","3","10","1","4","1","5","2","4","4","3","10","2","2","8","10","1","1","2","1","4","6","23","14","12","4","8","5","7","7","3","6","7","6","24","11","12","17","21","12","52","20","9","10","21","13","12","18","9","8","11","10","57","40","23","6","16","6","9","13","10","6","6","24","6","10","2","11","5","16","2","17","9","15","9","11","4","7","19","17","31","13","29","5","4","24","13","11","7"
"	lotte mart","17","26","13","11","15","8","10","6","36","4","5","25","34","15","9","8","4","9","1","10","5","18","8","4","8","21","9","27","13","18","3","8","8","13","8","3","4","3","6","32","17","2","16","48","15","7","11","6","10","12","8","7","4","9","11","11","1","6","12","2","11","6","4","7","4","3","11","10","11","15","3","12","7","6","17","15","8","12","9","16","6","11","4","7","6","14","12","21","5","15","4"
"	trà sữa","8","10","22","10","13","7","4","13","17","6","11","9","8","12","16","6","10","16","18","16","16","12","12","17","14","15","13","13","8","13","7","7","25","10","12","6","6","12","21","20","11","13","18","13","32","4","11","5","20","6","24","12","10","15","18","14","7","10","23","4","6","5","0","8","8","9","11","11","8","6","8","5","7","2","4","5","16","10","4","4","0","7","4","14","26","7","8","7","0","0","2"
