"	đường","0","0","2","4","2","2","0","8","0","0","2","7","4","7","6","4","0","0","9","13","15","4","3","0","1","4","4","2","1","5","9","0","2","2","4","4","4","3","2","17","4","4","0","2","3","0","5","5","4","1","0","3","1","4","0","0","1","2","0","0","5","0","2","7","1","0","16","3","3","1","1","5","3","0","0","1","1","4","1","7","6","0","1","3","8","2","1","4","13","5","1"
"	viên thả lẩu","6","0","1","2","6","1","6","9","3","0","2","12","1","0","4","4","1","5","2","2","0","1","3","0","1","2","2","1","21","2","2","0","4","9","1","3","0","1","16","1","16","1","3","0","3","2","4","5","2","1","2","4","5","1","0","3","6","1","8","16","1","2","9","2","0","3","2","0","8","0","1","0","2","1","2","3","3","1","2","9","1","4","3","1","3","2","2","9","1","2","0"
"	chả lụa","2","2","1","3","6","2","3","5","3","0","0","12","61","4","0","0","1","8","0","0","1","3","2","0","1","10","6","19","1","1","0","4","0","0","4","2","0","1","0","5","1","4","1","1","3","5","0","3","0","1","0","2","2","1","0","1","2","0","0","0","13","1","10","0","1","0","0","0","3","0","2","0","0","0","6","13","0","0","11","3","3","4","14","2","1","0","3","1","0","3","2"
"	bột giặt","4","0","4","20","3","1","0","0","8","11","23","12","21","9","3","6","2","0","0","1","5","1","1","0","5","1","2","0","1","0","18","0","8","0","0","0","1","0","2","4","1","3","1","1","3","2","0","0","4","1","6","0","3","5","0","0","0","1","1","0","9","0","1","3","5","3","2","3","0","0","1","1","5","11","17","3","1","3","3","2","2","3","0","2","1","0","3","0","3","0","0"
"	chanh","9","7","3","1","0","0","0","0","4","1","0","5","0","0","0","1","9","6","5","0","16","0","1","0","4","10","11","2","1","9","8","3","6","15","4","0","2","1","0","1","0","1","1","5","1","1","1","1","1","0","14","1","0","4","2","1","2","8","2","0","5","7","10","3","1","3","3","0","0","8","3","5","6","10","0","0","2","0","2","2","9","0","0","4","2","4","1","0","10","2","2"
"	mận hậu","14","16","3","4","10","4","5","3","6","13","11","14","20","1","0","14","0","1","6","8","2","2","2","0","2","1","1","11","7","17","2","1","2","6","4","1","6","16","0","3","4","2","0","1","6","1","1","1","4","0","1","0","0","3","6","2","0","0","0","4","6","1","0","0","0","0","0","1","0","0","0","1","0","1","8","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	th","0","0","0","0","0","2","0","0","9","9","1","2","25","2","1","1","2","17","23","6","7","6","1","0","4","3","2","0","0","1","0","6","1","0","0","1","1","2","1","12","2","0","1","4","35","14","12","0","0","4","0","1","3","14","7","0","0","1","7","2","1","2","0","0","2","1","0","0","0","1","1","1","1","2","0","0","1","1","0","4","10","0","0","1","2","3","2","0","1","2","0"
"	kim chi","7","7","0","2","0","0","1","0","1","0","3","3","18","11","0","3","0","2","1","3","0","8","0","14","9","8","4","8","8","7","5","0","1","3","2","2","1","1","6","0","1","2","8","2","1","2","0","4","3","0","5","5","2","0","3","1","5","1","6","3","2","0","14","2","4","0","0","2","2","9","3","0","0","9","1","3","3","3","5","4","5","2","4","2","0","4","0","0","4","2","0"
"	coca cola","2","2","1","1","1","0","1","4","1","8","5","16","4","7","1","3","11","1","2","2","1","5","6","0","3","4","1","7","3","5","2","2","3","0","0","2","8","3","2","2","12","5","0","3","0","0","1","0","2","3","2","2","1","11","2","3","1","16","3","3","7","3","2","2","7","7","3","4","3","2","0","0","0","3","7","0","3","2","4","2","0","8","1","4","10","1","2","2","0","1","0"
"	bánh bao","2","2","4","0","5","5","10","2","7","3","3","0","0","6","2","0","1","3","13","2","5","0","0","2","3","0","1","5","1","0","1","0","3","0","2","6","13","6","1","3","0","5","6","1","6","5","3","4","2","3","1","4","3","9","9","1","8","5","4","6","2","2","3","1","1","6","1","5","9","1","3","2","0","1","1","2","2","0","0","4","2","2","3","19","1","0","0","3","1","6","1"
"	mận hà nội","5","11","4","10","5","4","17","8","1","5","7","14","6","5","3","1","3","12","0","0","4","8","1","0","2","14","1","0","10","0","0","0","11","2","5","3","5","1","0","2","6","4","1","3","3","2","1","0","1","2","3","0","4","0","4","1","5","1","4","1","1","0","5","10","0","5","1","0","3","0","2","0","0","0","2","3","2","0","4","2","0","0","3","0","0","0","5","0","1","0","0"
"	rau","8","2","0","0","1","7","0","17","0","7","2","2","7","10","12","1","1","0","11","1","0","2","2","0","2","7","0","5","11","0","12","0","9","2","1","0","3","1","1","0","0","1","2","1","1","1","0","1","2","2","0","2","5","1","3","1","9","4","3","1","5","0","4","10","6","3","1","0","3","11","3","6","1","0","1","3","3","3","3","3","6","2","1","3","1","2","0","1","1","12","0"
"	bơ sáp","6","1","0","1","0","3","6","0","2","3","3","4","5","9","1","2","1","0","12","1","4","0","0","1","13","1","2","2","12","3","0","3","9","0","3","13","7","1","0","2","1","2","1","0","16","2","1","0","2","3","2","0","0","0","3","0","5","0","0","0","6","1","2","1","3","0","0","3","5","7","17","2","6","0","1","1","1","13","2","0","0","14","4","1","2","3","2","6","5","2","0"
"	bạch tuộc","7","3","2","2","4","11","5","6","23","2","0","0","2","0","0","1","0","0","14","2","1","5","1","2","0","0","15","0","1","4","5","1","0","5","8","3","1","3","9","1","3","6","7","6","3","4","2","11","1","0","0","0","3","0","5","0","1","9","2","6","1","4","3","3","0","1","3","2","4","1","1","0","1","0","0","0","2","5","1","6","3","4","7","2","1","4","0","0","5","1","0"
"	dâu","0","0","7","1","9","1","1","5","0","3","1","7","0","5","0","3","3","3","0","8","3","2","8","0","2","6","2","0","4","4","1","2","8","0","3","1","0","6","0","2","2","0","6","6","5","3","0","10","9","5","8","3","5","2","3","3","1","1","10","6","5","5","0","8","0","4","5","1","1","0","1","4","2","0","1","14","0","1","0","0","5","7","1","4","1","4","5","1","0","4","0"
"	gà ta","1","1","1","1","1","1","1","15","0","0","1","3","3","17","1","3","2","1","3","0","0","6","1","7","0","1","9","2","0","1","1","11","0","2","1","18","1","14","12","12","0","1","4","1","2","0","5","2","0","2","9","5","1","0","1","1","6","0","3","2","3","1","4","4","4","1","4","0","0","1","2","1","1","5","0","1","0","6","3","3","4","2","1","9","9","0","1","2","4","6","0"
"	chôm chôm","1","3","8","1","0","3","10","21","0","1","0","4","1","2","4","3","7","1","4","5","6","8","1","0","1","4","4","8","1","6","1","0","7","7","2","1","1","1","3","1","1","0","3","3","15","3","4","0","1","1","4","2","0","2","1","3","0","0","1","2","1","1","1","0","2","2","3","0","27","0","0","4","0","0","5","1","5","6","2","4","3","1","1","1","1","2","0","16","2","1","1"
"	simply 5l","0","1","6","9","0","0","1","0","5","8","0","5","0","1","0","3","8","16","0","17","0","0","6","0","3","0","1","0","0","0","0","1","2","0","0","1","8","2","10","4","2","7","0","0","8","11","0","2","6","4","3","1","0","0","3","3","10","1","0","13","0","0","1","0","1","6","9","3","5","11","11","8","3","3","1","1","1","2","0","0","0","0","3","4","4","5","2","1","3","0","1"
"	sashimi","0","15","2","4","10","2","5","6","1","0","8","4","0","2","2","6","1","2","1","2","1","0","0","0","2","1","10","26","19","1","0","8","2","0","1","0","11","10","2","0","2","1","1","3","0","2","4","5","2","0","7","4","6","5","0","0","6","2","17","3","1","0","1","1","3","4","9","0","2","2","0","0","7","0","2","0","0","2","0","0","0","0","0","0","0","1","6","1","1","0","1"
"	sữa tươi","0","0","0","6","1","0","2","2","5","3","2","9","11","5","11","5","2","0","6","2","2","5","0","3","0","1","5","2","2","3","2","0","10","3","1","1","1","2","1","6","2","2","5","0","0","6","5","6","2","1","12","3","9","1","0","4","2","0","2","2","3","13","3","4","6","1","2","1","3","1","12","0","1","1","3","3","0","3","2","0","3","5","5","0","6","6","0","0","4","1","2"
"	big c miền đông","8","3","0","7","2","5","7","1","15","28","3","0","3","8","0","1","1","2","3","2","3","3","9","11","0","6","8","0","0","1","4","1","1","5","0","11","1","5","2","2","1","4","11","7","11","3","15","1","0","1","0","3","1","0","3","1","0","0","0","2","1","1","0","2","0","3","3","3","0","3","2","1","5","0","3","0","0","0","2","1","0","0","0","2","1","0","3","2","4","0","0"
"	mít","4","1","2","2","0","0","1","2","1","2","0","21","3","0","7","8","6","13","4","1","2","0","1","0","2","1","5","7","0","0","0","2","6","2","1","1","1","1","9","1","4","0","0","1","3","11","1","5","24","15","3","2","6","6","2","4","1","1","1","1","0","12","3","1","1","0","0","3","0","3","6","1","0","3","0","2","4","2","0","4","1","3","1","1","6","0","3","2","1","3","0"
"	khoai tây","3","1","3","1","4","2","2","0","0","1","3","5","1","0","4","1","5","17","0","2","0","2","0","5","1","4","0","13","1","4","6","2","4","2","1","3","5","0","1","4","6","2","3","0","1","4","0","2","4","0","3","4","1","9","14","1","1","2","1","0","1","2","9","3","0","0","2","2","1","0","5","4","2","3","13","0","2","8","3","8","4","3","7","7","0","1","4","9","0","3","0"
"	mì tôm","0","0","0","0","2","1","4","4","1","1","0","1","0","5","1","5","0","0","1","2","1","0","4","1","1","0","1","9","1","0","7","0","0","29","6","4","2","5","13","7","0","3","5","0","5","4","0","4","3","9","2","1","5","7","2","1","7","11","2","0","4","9","4","5","7","2","1","0","0","1","2","4","0","1","14","0","2","3","7","0","2","1","1","9","0","0","0","1","4","2","0"
"	lotte mart quận 11","5","2","5","14","1","1","5","4","4","2","5","6","8","1","2","2","3","4","1","0","1","1","0","2","1","4","2","1","7","0","1","1","1","0","5","0","1","2","5","1","1","5","3","11","2","15","8","7","7","15","6","1","3","9","3","7","2","1","0","0","1","1","4","3","1","0","2","7","6","8","1","1","2","4","2","7","1","0","2","1","1","1","1","0","0","0","1","1","0","0","0"
"	meat master","4","1","0","2","1","0","4","0","7","2","8","4","3","6","1","5","1","4","5","0","11","6","1","2","2","0","0","8","1","0","1","0","1","0","2","2","1","4","10","4","9","0","0","3","6","6","0","3","1","0","0","0","9","20","36","2","1","1","2","3","1","0","1","0","0","0","3","0","1","2","0","0","2","0","2","2","15","1","1","4","1","2","6","0","5","1","3","5","1","0","0"
"	dừa trọc","0","1","2","5","7","0","3","3","8","2","2","6","3","0","2","1","1","13","0","1","3","0","5","0","4","10","3","5","3","1","1","0","4","1","13","6","0","0","8","15","4","0","2","4","13","0","0","4","4","1","4","2","0","2","6","3","2","3","1","1","0","1","1","0","0","1","1","1","3","1","0","22","2","0","2","1","1","19","1","0","3","3","3","2","2","0","1","0","1","1","0"
"	má đùi gà","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","2","11","0","0","3","0","0","0","0","0","0","0","0","4","11","1","0","0","0","0","4","0","0","0","0","0","4","0","0","2","0","0","7","25","26","3","3","12","4","6","11","3","3","14","3","2","3","2","4","4","3","11","0","4","5","22","0","6","9","9","3","2","2","1","1","4","1","1","2","3"
"	nestea","0","6","0","0","0","0","0","0","1","5","10","0","13","0","4","6","5","19","7","4","2","1","3","0","7","1","2","0","2","4","7","7","3","0","1","1","2","5","24","1","1","3","4","5","6","4","2","3","1","13","5","1","1","0","5","0","1","2","1","7","0","1","2","0","4","2","14","1","3","0","3","5","3","1","0","0","1","0","1","2","8","0","0","0","0","0","0","1","0","0","0"
"	nghêu","0","0","0","4","15","16","6","4","0","1","0","1","1","6","2","4","0","0","0","5","0","0","1","0","2","0","0","0","0","4","1","0","0","17","19","4","2","3","0","0","0","0","1","2","2","0","2","1","2","1","11","1","0","7","7","2","10","1","5","1","0","1","1","0","4","7","3","1","0","5","10","0","1","3","6","1","4","0","0","0","5","0","5","1","4","2","1","2","25","0","0"
"	larger","6","4","4","4","3","4","0","0","2","5","5","2","12","21","6","3","0","2","2","3","2","0","0","1","1","1","2","1","0","0","0","0","0","0","0","0","2","0","1","0","0","0","1","0","1","4","1","0","0","5","0","0","0","0","0","0","0","0","4","15","31","58","8","36","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	khô mực","3","5","1","1","4","0","0","1","0","0","1","6","4","2","0","3","1","7","3","6","0","9","4","5","5","0","0","5","3","7","1","1","1","2","1","11","14","0","9","1","0","5","1","1","4","8","0","4","0","1","11","2","2","0","0","2","1","7","2","2","8","0","6","7","1","0","0","0","13","2","3","3","0","10","5","0","1","1","1","4","0","1","1","5","1","0","0","3","3","3","0"
"	7up","6","2","6","11","2","44","2","2","0","3","3","12","6","1","3","15","6","9","7","3","5","3","2","0","9","1","5","0","7","3","4","2","8","0","0","0","0","3","1","1","2","0","1","15","12","3","1","2","5","1","0","0","5","2","1","1","0","2","1","3","1","2","1","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"	tôm hùm alaska","0","3","3","15","1","0","2","8","0","2","18","1","11","0","0","0","0","0","5","0","3","1","2","2","4","4","4","1","0","3","0","0","0","2","0","1","1","5","0","22","0","0","0","0","0","0","6","0","2","5","0","2","52","17","8","1","2","0","8","0","0","1","0","0","0","2","0","3","0","0","0","0","1","0","1","5","1","4","0","0","1","0","2","8","1","1","2","1","0","1","0"
"	tôm khô","3","6","4","5","2","0","6","2","0","6","0","2","16","0","6","4","3","0","0","2","4","12","3","2","2","0","26","0","1","2","8","1","3","1","1","1","1","0","0","2","2","1","4","4","1","0","4","2","3","0","1","5","2","2","1","2","3","0","4","0","5","2","1","2","0","1","0","3","12","1","0","1","0","1","3","2","1","0","3","10","7","3","0","0","3","0","2","7","8","3","0"
"	bách hóa xanh","5","0","0","2","1","0","0","1","5","13","3","2","7","2","1","0","8","1","1","1","0","0","5","4","2","1","8","2","2","3","4","2","1","0","5","6","4","0","4","0","6","0","1","1","1","2","1","1","2","3","10","2","2","1","1","7","2","4","1","3","3","1","1","2","2","4","3","8","1","3","7","3","0","1","0","1","2","0","10","4","2","12","4","13","1","2","4","5","2","0","1"
"	bigc miền đông","8","5","10","10","1","2","0","3","1","1","1","0","0","0","1","1","0","0","0","0","0","2","8","1","6","2","2","0","2","1","1","2","5","2","0","2","0","0","0","2","3","1","9","14","8","6","7","2","0","1","3","2","0","0","0","2","31","0","0","0","0","0","0","0","1","8","2","10","0","10","0","12","2","2","13","0","2","0","3","3","4","0","3","1","6","2","0","0","0","1","2"
"	heniken","0","10","5","14","2","1","1","3","24","12","5","4","8","3","7","4","6","3","0","3","3","4","1","3","6","0","2","6","2","0","4","0","0","0","2","4","2","2","1","0","0","2","4","1","6","2","0","0","0","1","1","0","0","1","0","1","0","1","0","0","2","0","2","1","0","0","0","0","0","1","2","3","2","20","1","29","3","0","0","0","2","5","1","0","2","0","1","2","0","0","0"
"	phô mai con bò cười","8","1","7","6","1","1","0","0","0","0","0","4","10","3","1","0","1","1","0","0","0","0","2","10","5","2","2","9","0","2","1","5","6","0","0","0","6","0","7","4","5","1","2","9","17","5","4","2","0","4","8","4","5","1","2","1","6","1","0","3","8","2","3","2","3","3","2","0","0","4","1","3","2","0","1","2","9","0","0","1","7","0","1","5","1","5","0","1","5","0","0"
"	hoa tươi","3","7","8","9","4","6","1","1","0","5","5","0","0","5","2","0","2","0","2","0","3","0","1","4","1","2","4","0","6","2","3","2","0","0","3","0","0","2","1","6","8","2","0","4","11","0","0","5","8","4","2","4","0","3","0","5","0","0","2","1","0","21","1","6","2","1","4","1","0","2","8","0","0","1","5","2","3","2","6","7","10","2","0","2","0","1","1","0","3","1","0"
"	lẩu","3","6","14","0","16","2","0","0","3","1","1","0","14","2","4","0","2","4","4","8","5","1","4","1","0","3","1","0","5","0","1","6","2","2","1","1","0","0","7","2","14","0","0","0","4","3","0","2","0","12","3","3","1","4","0","2","0","1","2","0","0","2","1","2","6","2","1","2","3","6","8","0","1","2","0","2","3","1","0","0","12","8","5","0","2","0","3","0","1","1","0"
"	fs trái cây tươi","2","2","4","1","5","2","6","3","9","2","3","11","2","6","2","0","1","3","4","7","4","4","2","4","6","9","0","1","5","6","2","4","1","6","1","5","4","3","6","5","2","2","6","4","2","2","1","0","3","4","8","2","1","0","0","2","3","0","5","7","5","6","6","2","0","3","0","1","1","0","0","1","1","1","0","0","8","1","0","1","2","0","0","0","5","0","0","0","0","0","0"
"	cái lân","5","3","22","12","3","0","0","2","3","0","11","26","4","3","2","4","0","23","3","11","1","1","1","4","5","0","4","0","1","0","1","0","1","0","7","0","0","1","1","1","24","0","0","9","0","1","0","0","0","0","0","0","12","6","0","2","0","2","2","0","1","0","0","0","0","0","0","7","0","1","5","0","0","2","0","1","0","0","0","0","0","2","4","2","0","0","0","0","0","0","0"
"	tiger nâu","14","8","57","15","5","2","3","9","7","25","3","3","0","8","2","3","5","5","0","0","0","5","18","6","18","6","9","5","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	xà lách","0","7","1","2","4","9","1","5","4","0","0","2","0","0","0","1","0","3","1","1","0","6","0","0","1","1","2","1","2","2","4","0","1","0","11","2","0","4","0","1","1","6","2","0","2","6","2","3","1","2","3","1","0","5","11","2","7","1","0","0","2","10","1","5","2","5","0","2","13","8","2","3","8","0","1","4","0","0","2","3","1","8","6","2","0","7","4","5","2","5","2"
"	giỏ trái cây","0","2","5","0","0","2","1","6","0","24","4","1","1","2","2","0","1","0","0","0","0","1","12","12","0","3","12","3","0","1","4","0","0","0","0","0","7","1","1","1","3","6","5","0","5","0","5","0","4","4","1","1","1","10","0","3","4","0","8","1","6","0","0","1","9","2","1","1","0","3","1","1","4","1","1","1","2","0","5","1","0","7","0","4","0","9","10","7","0","0","0"
"	phô mai kéo sợi","1","3","2","0","5","3","3","0","2","2","3","17","4","19","1","4","7","16","1","1","5","4","2","0","0","0","2","7","4","1","6","0","0","3","1","3","0","0","0","2","1","3","6","1","3","0","0","8","4","0","1","3","0","1","1","7","7","1","4","1","2","0","4","0","0","1","1","12","0","1","5","2","0","2","1","0","1","1","0","6","1","2","0","0","0","4","5","2","2","5","0"
"	warrior nho","0","0","0","3","1","0","0","0","0","0","2","0","8","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","1","0","67","2","0","0","0","6","26","52","29","3","4","7","17","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","0","0","0","0","0","0","1","0","4","0","0","0","0","0","0","0"
"	ghẹ","0","0","1","0","0","2","0","13","4","12","0","6","0","1","3","0","0","3","1","2","0","0","0","3","1","2","3","4","0","0","0","11","4","2","0","4","0","2","1","1","1","3","1","5","0","4","5","12","1","0","2","3","8","16","2","5","3","5","1","3","2","10","3","0","1","0","0","0","15","1","0","2","0","2","7","0","2","0","2","0","0","0","1","10","1","4","0","5","4","4","0"
"	tôm sú","2","4","0","0","0","0","7","0","3","0","1","1","0","1","5","2","4","5","1","0","0","2","0","1","11","17","5","3","0","1","7","3","2","1","0","6","2","2","3","0","2","1","3","1","10","2","4","5","1","1","1","0","4","0","2","0","7","1","12","14","3","4","3","0","5","6","1","10","1","1","0","0","2","0","1","4","1","9","4","0","0","1","0","4","4","2","2","1","0","0","0"
"	dừa xiêm","3","5","7","0","0","5","3","0","0","0","0","14","1","2","0","3","2","7","3","0","1","1","2","2","1","7","3","0","0","0","3","4","3","2","2","1","4","4","2","5","9","2","1","0","2","0","4","3","3","3","8","2","4","4","0","8","3","1","3","1","0","4","6","5","2","1","11","9","8","3","0","1","2","1","3","0","0","0","2","0","0","0","0","0","1","1","5","1","3","8","0"
"	ngũ cốc calbee","8","0","12","2","2","1","4","10","11","8","1","5","0","5","16","2","0","6","0","0","0","1","0","0","2","3","2","2","2","2","3","4","3","1","6","6","0","0","4","2","0","3","11","1","5","1","0","1","5","4","4","1","3","0","1","2","0","3","2","1","1","6","1","0","5","1","6","0","1","0","3","1","0","1","0","5","1","0","0","3","1","4","2","0","2","2","0","2","7","0","0"
"	vú heo","1","2","0","1","3","0","0","9","0","0","7","0","0","13","5","1","4","2","2","11","1","3","0","2","3","2","4","1","1","2","0","1","3","1","0","9","6","0","4","3","1","3","1","2","1","3","1","1","2","4","0","11","0","1","19","1","0","3","1","0","4","2","1","4","0","0","3","0","3","2","0","0","5","0","1","1","0","7","0","0","1","1","2","0","0","0","15","24","0","1","0"
"	cá hồi phi lê","0","2","8","13","2","0","1","1","1","1","0","22","1","8","2","8","3","1","0","5","5","9","1","8","9","5","10","2","1","0","15","5","0","1","1","0","8","1","0","6","1","0","1","1","0","1","1","16","0","4","4","3","5","2","1","2","2","3","2","2","3","3","0","0","0","0","0","0","0","0","1","0","0","0","7","1","0","1","0","4","0","0","0","0","0","0","0","0","1","0","0"
"	cà rốt","5","3","1","2","3","0","1","0","1","0","0","0","3","11","0","4","0","1","0","6","2","1","0","0","1","0","2","8","6","1","1","13","5","1","5","4","1","6","2","2","7","10","5","2","2","2","1","0","3","0","0","0","3","4","0","0","0","1","8","13","5","6","5","4","0","3","3","0","2","1","1","0","2","0","8","1","1","2","1","5","0","5","2","2","2","4","0","2","0","5","2"
"	sữa chua vinamilk","0","0","0","1","1","0","7","0","3","1","2","1","0","0","0","0","0","0","4","1","0","7","4","0","0","0","1","0","5","1","0","0","6","0","1","0","2","3","3","0","0","2","1","0","1","0","4","0","14","2","1","5","3","0","2","4","0","0","3","4","2","2","2","1","5","0","2","3","1","4","0","18","18","10","1","4","2","0","6","7","0","4","0","2","6","15","2","5","1","13","0"
"	gà ủ muối nguyên con - 1 con","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","1","2","0","3","3","4","9","8","5","15","3","5","0","8","14","13","10","13","10","10","3","7","9","8","5","4","10","9","11","16","10","2","1","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	ariel","5","0","0","9","1","2","1","1","4","2","0","4","14","2","5","3","2","0","4","1","0","0","0","0","9","1","2","0","2","11","1","5","0","0","5","5","1","1","1","13","0","1","3","2","29","1","5","5","0","3","6","0","3","2","5","1","0","1","2","4","2","0","0","4","0","0","0","0","1","0","0","2","2","2","1","7","4","0","0","0","10","1","5","0","0","1","3","0","0","0","0"
"	lavie","0","0","0","5","5","10","0","0","0","1","1","1","3","0","0","2","0","0","2","0","0","1","14","5","5","2","1","0","1","2","11","0","6","1","0","1","4","1","3","9","0","3","0","1","1","0","4","16","0","6","3","0","1","5","1","2","1","0","1","0","2","0","4","6","0","0","8","6","6","1","1","6","1","1","5","5","0","3","4","15","1","1","4","4","4","1","0","0","3","1","0"
"	ba chỉ bò","0","0","0","1","3","10","1","0","1","0","1","6","1","5","5","0","0","0","0","0","4","7","5","2","2","1","1","0","1","3","1","3","2","4","2","0","2","1","10","4","1","13","8","2","1","5","14","0","3","1","4","0","4","4","1","5","2","0","0","0","1","1","0","0","0","3","0","0","4","3","2","0","5","4","9","12","1","0","9","2","1","1","1","5","0","0","3","4","6","0","0"
"	rong biển","0","1","4","2","0","0","2","1","2","5","3","5","1","1","4","0","7","0","7","1","2","0","1","5","2","4","2","10","5","3","0","1","1","8","1","2","1","3","4","1","2","3","0","0","9","0","4","0","2","0","5","6","1","0","1","1","1","1","3","0","9","8","0","1","5","1","0","2","9","6","3","6","0","6","3","2","1","1","2","0","1","5","5","1","0","3","0","6","3","1","1"
"	ajinomoto","0","0","0","0","0","0","8","0","5","0","5","20","7","0","0","4","2","16","1","0","1","0","0","1","0","0","0","2","0","0","0","0","0","0","0","0","12","0","0","3","0","0","4","0","6","8","6","0","0","2","1","0","2","10","1","0","4","10","0","0","0","0","0","1","0","0","0","5","0","0","1","0","0","0","0","1","0","0","0","13","20","32","12","0","0","0","0","0","0","4","0"
"	nấm rơm","0","1","5","13","0","2","1","0","3","0","0","1","0","2","2","0","0","0","2","3","4","1","6","0","18","2","0","0","2","3","6","0","1","1","5","3","4","1","4","12","2","0","1","0","0","0","4","4","1","0","1","2","0","0","1","1","0","1","2","3","1","3","3","1","2","2","0","0","0","0","0","0","1","0","0","7","1","12","21","6","9","15","1","1","4","0","1","3","1","2","0"
"	thanh cua","3","2","5","0","2","1","3","5","0","4","5","3","1","1","4","0","4","1","1","4","7","3","3","0","6","0","0","10","1","0","6","1","3","4","0","1","4","0","1","1","10","1","0","0","1","11","0","2","3","1","3","0","4","5","1","12","3","0","1","5","3","0","10","3","0","4","0","7","3","4","1","0","0","1","0","4","0","3","6","1","0","4","0","1","0","4","0","5","0","0","0"
"	thịt xay","0","0","1","4","0","2","0","0","0","0","1","0","0","5","2","1","6","0","0","0","0","1","1","0","0","2","6","20","2","5","3","0","0","0","1","6","7","0","3","5","0","1","1","3","3","4","0","0","2","1","3","1","3","5","4","0","0","4","0","10","8","2","5","2","0","2","3","5","9","15","1","1","2","1","3","6","0","3","0","1","2","2","1","3","7","2","8","1","1","0","0"
"	cafe","1","0","2","4","0","0","0","0","0","0","1","4","3","3","16","5","0","0","6","1","0","3","3","0","0","0","1","0","0","0","1","0","22","0","0","5","0","3","2","3","0","0","1","4","5","1","3","0","0","0","1","0","0","0","3","0","3","0","2","0","0","0","9","3","0","12","1","1","13","1","0","4","19","1","10","11","0","0","4","0","4","2","2","0","0","8","0","0","0","4","0"
"	nước rửa chén","0","10","1","7","4","0","11","1","2","3","0","2","0","11","2","0","0","3","0","0","3","0","3","3","6","1","0","0","3","1","1","0","2","0","5","2","3","3","6","2","1","1","0","7","5","4","2","0","1","0","0","0","5","1","4","1","10","4","2","6","5","3","0","0","0","1","2","0","1","3","0","4","0","13","1","0","4","0","9","0","1","0","0","1","0","5","2","3","0","8","0"
"	warior dâu","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","167","53","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	cá ngừ","6","1","10","1","1","0","3","1","3","0","0","0","1","1","1","2","0","0","2","2","15","0","0","0","1","8","4","4","0","3","3","3","12","2","0","0","1","1","8","0","3","1","1","7","0","1","0","0","3","5","2","2","0","1","5","8","4","5","0","1","5","1","6","1","4","8","6","1","0","0","1","0","2","0","1","0","0","1","5","3","2","1","0","2","9","1","0","0","4","6","0"
"	tỏi","1","1","0","1","5","10","0","4","7","8","1","2","5","1","0","1","0","0","0","0","0","2","1","0","1","0","0","0","1","6","5","0","1","16","1","0","10","2","7","0","0","4","2","0","5","1","4","3","1","5","8","2","6","1","2","4","1","3","0","2","0","2","4","5","1","0","2","5","2","0","0","0","3","0","3","1","1","0","0","0","0","0","0","1","1","0","9","2","0","22","0"
"	bưởi","3","1","1","1","0","7","0","15","1","1","0","1","2","1","1","0","4","2","2","0","4","0","7","0","1","8","0","2","0","4","5","0","1","2","1","1","6","6","3","2","2","4","9","0","2","1","2","3","7","1","1","6","1","7","0","0","9","0","1","0","0","6","3","3","7","4","0","1","5","0","1","3","4","0","2","0","0","5","2","1","3","0","0","3","5","0","4","0","3","1","0"
"	cửa hàng gạo a an nguyễn lương bằng","0","0","0","0","0","0","0","1","0","3","27","17","6","7","3","4","5","0","8","0","4","1","0","0","11","9","11","2","3","0","0","2","1","0","4","1","0","2","2","13","10","10","6","7","2","4","2","0","5","5","2","2","2","0","0","0","0","1","1","0","1","0","2","1","1","0","0","0","0","1","0","0","0","1","0","3","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	simply 1l","3","0","2","23","4","0","1","0","8","1","2","19","2","1","7","6","0","1","11","0","5","0","0","6","8","5","3","4","9","2","1","5","0","25","12","1","2","1","2","0","6","0","0","1","1","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","1","0","3","0","0","0","0","0","5","0","0","3","3","0","2","1","0"
