"	tiki now 2h","24","5","1","1","2","0","54","17","0","0","55","98","9","90","115","125","87","93","79","7","65","71","44","96","2","81","7","55","90","64","81","80","71","5","69","40","49","90","91","46","57","59","72","63","57","110","106","86","56","109","72","103","109","96","77","89","72","68","83","70","77","87","55","57","59","78","56","69","93","73","63","68","132","107","87","90","80","90","97","87","10","65","67","16","75","87","85","10","66","15","0"
"	sầu riêng","95","72","88","96","120","102","124","78","77","63","141","229","126","91","89","75","72","69","58","17","76","76","40","33","133","105","97","101","90","71","59","64","82","80","95","110","46","37","131","74","81","65","81","57","71","47","54","80","56","43","41","44","43","73","35","40","41","30","30","61","44","24","51","32","38","34","31","42","25","28","18","5","37","27","20","48","25","29","23","17","57","119","59","42","27","27","15","27","25","23","2"
"	chân gà rút xương","41","21","17","21","31","70","47","57","42","44","42","34","33","62","40","47","61","60","74","69","65","66","110","112","87","78","48","69","67","92","86","38","73","76","72","62","49","86","103","119","81","60","77","99","98","141","95","106","80","79","78","99","87","78","74","47","44","70","67","64","67","53","58","48","36","53","69","40","52","62","45","28","38","63","46","38","49","47","49","40","57","45","26","33","22","22","49","36","29","33","5"
"	gà ủ muối","52","54","36","47","61","48","72","67","70","65","37","73","73","23","80","50","75","67","69","81","74","72","85","84","70","74","71","97","77","82","61","67","52","53","66","81","58","98","103","65","90","84","101","63","96","97","57","80","53","76","59","86","69","74","39","57","58","59","69","40","49","64","35","28","32","37","44","31","36","63","33","36","43","41","50","39","46","30","46","40","75","46","33","47","31","46","42","54","36","62","1"
"	tương ớt","30","129","56","106","5","39","48","283","85","115","38","26","43","77","80","54","63","66","2","114","61","64","26","44","116","272","174","122","80","75","85","141","6","99","79","18","55","77","63","94","74","4","52","37","47","57","74","84","89","90","175","6","51","37","41","5","23","28","34","35","58","53","46","76","95","1","0","35","97","3","73","46","37","49","42","68","62","30","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	selsun","258","231","102","106","137","216","205","140","53","56","43","43","108","212","65","71","97","98","34","2","37","41","74","53","66","20","35","39","302","63","41","104","11","0","31","32","50","31","26","19","48","39","39","44","83","64","41","24","54","61","30","41","116","59","60","53","30","43","34","54","21","29","42","30","60","41","35","31","27","40","6","25","31","25","44","47","108","54","16","0","0","0","0","0","0","0","34","2","0","0","0"
"	sữa tươi","45","84","60","40","0","0","42","78","99","92","83","38","68","128","87","81","82","26","0","156","92","54","62","61","71","6","44","79","87","13","66","50","28","0","116","22","49","48","9","67","56","13","0","69","182","118","91","52","57","126","4","0","88","30","44","82","41","56","41","65","50","59","76","64","99","62","76","96","106","27","54","87","82","45","101","74","131","45","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	ngũ cốc","120","128","102","76","9","0","79","119","132","7","56","8","117","184","87","115","67","35","0","96","7","50","19","116","103","0","61","102","75","5","87","123","20","0","79","18","82","87","91","98","7","0","0","83","170","89","94","71","98","127","9","0","35","114","23","0","0","82","125","70","69","6","70","20","53","2","0","83","23","1","54","70","78","18","83","88","27","43","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	sữa đặc","63","97","40","12","0","0","0","0","0","24","46","10","72","92","69","84","76","61","35","88","60","76","40","38","93","20","60","83","62","76","123","133","5","0","70","5","49","45","57","57","65","101","14","58","117","81","66","62","67","49","107","80","71","102","43","75","88","51","103","32","88","59","59","39","51","47","43","61","75","5","35","40","45","54","70","104","105","24","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	fami","70","70","100","104","21","72","49","73","66","73","21","0","67","185","129","285","200","177","17","64","52","35","51","78","61","23","50","40","47","55","92","149","69","17","67","17","29","78","3","0","0","0","0","0","0","49","90","8","0","0","0","0","0","50","187","47","0","89","84","114","12","0","0","0","82","12","0","87","80","31","0","80","25","91","22","76","117","31","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	cherry","37","35","39","43","24","30","29","49","62","27","29","114","42","65","38","43","48","16","43","42","37","36","39","32","39","29","46","46","38","32","37","47","26","12","32","31","19","16","40","31","83","42","36","40","66","31","28","44","30","52","32","41","46","64","46","47","41","33","46","66","30","45","34","68","55","60","63","54","64","53","56","53","49","44","44","53","53","54","88","56","102","71","60","65","45","64","66","39","52","22","16"
"	gạo st25","74","45","36","43","3","0","54","95","121","11","53","6","98","117","104","97","68","5","0","71","68","65","101","54","73","42","53","119","11","43","71","78","5","0","47","4","125","33","65","96","8","0","0","45","117","86","113","2","94","123","6","0","51","4","42","14","0","66","13","46","78","10","55","63","102","8","0","96","18","0","69","94","101","67","76","119","38","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	lifebuoy","86","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","53","285","80","18","0","0","100","95","17","71","73","28","0","0","0","42","12","0","54","6","0","0","107","372","16","198","143","43","68","197","99","109","22","0","110","29","130","83","42","58","56","75","34","189","25","53","8","63","10","35","82","103","28","40","116","233","11","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	tiki ngon hcm","21","21","23","42","27","22","34","34","21","32","58","19","23","33","47","33","38","20","32","17","30","29","23","16","43","25","42","38","42","64","12","27","56","61","109","73","47","114","35","50","38","58","56","64","51","38","44","38","61","45","20","38","36","32","33","53","47","42","41","38","39","48","32","43","26","39","24","33","49","33","47","39","44","40","42","31","54","48","31","57","38","31","72","64","88","89","86","46","67","83","11"
"	nescafe","55","54","63","13","0","35","76","77","51","6","38","1","58","132","71","69","20","0","0","0","33","43","25","0","0","0","0","42","11","72","62","78","11","79","58","36","39","45","71","45","16","0","0","55","153","85","57","44","57","52","64","15","80","27","51","2","0","28","16","44","31","17","28","31","67","9","59","89","12","39","88","57","81","62","83","115","160","56","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	th true milk","71","109","78","79","15","0","120","100","127","20","120","37","98","347","108","92","10","0","0","0","98","88","23","58","14","0","57","94","7","0","0","103","64","0","0","0","70","5","0","0","0","0","0","0","0","0","138","29","61","110","10","0","0","0","0","0","0","150","5","0","0","0","122","47","153","14","0","0","0","0","0","96","8","0","0","113","194","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	simply","51","91","79","97","14","28","68","66","94","13","0","0","0","196","164","70","72","30","0","0","0","41","35","0","66","14","26","74","34","89","105","139","19","0","0","0","86","122","89","54","7","0","39","82","116","83","42","12","0","42","36","0","40","31","62","14","0","40","6","18","27","3","20","36","28","1","0","11","3","0","35","67","64","25","36","63","60","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	sữa th true milk","79","124","83","104","11","0","76","122","168","17","113","23","122","470","203","18","0","0","0","0","0","166","13","0","1","0","68","118","16","0","0","145","36","0","0","0","109","28","0","0","0","0","0","0","0","0","98","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","136","10","96","19","0","0","0","0","0","112","26","0","0","131","191","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	kẹo","40","44","106","44","18","63","67","82","106","89","103","8","24","85","65","98","9","0","0","0","0","39","6","53","62","19","39","40","6","0","64","52","6","0","26","6","27","5","0","43","6","0","82","64","86","84","111","6","51","99","3","0","55","5","70","7","0","90","1","52","67","51","43","76","70","15","0","67","2","0","88","90","5","0","80","105","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"	trứng gà","27","18","35","20","29","12","28","18","34","36","18","24","11","20","24","30","21","2","17","4","33","15","16","17","21","28","23","29","35","1","19","27","24","30","27","27","23","29","56","28","46","48","37","31","63","86","40","40","44","46","28","44","44","31","22","77","69","41","48","28","32","38","32","26","35","45","29","40","32","28","41","29","39","28","53","36","50","39","36","42","44","28","38","35","42","45","47","34","37","35","3"
"	xúc xích","37","47","33","24","18","22","11","38","36","26","23","32","20","55","33","42","26","31","47","36","39","37","31","33","35","40","29","34","53","21","55","18","27","51","32","36","16","21","31","22","42","20","47","30","44","44","44","25","53","22","31","50","25","46","22","27","36","33","44","34","29","74","26","24","37","38","44","14","34","26","41","24","30","49","28","34","34","72","28","43","15","30","17","25","34","6","12","10","2","0","0"
"	mì","22","28","41","16","41","18","30","50","10","53","64","56","38","72","50","31","20","36","74","11","35","53","37","16","29","27","27","30","36","9","28","37","35","28","52","8","28","51","61","32","7","0","0","35","55","42","53","31","54","41","54","30","21","55","30","34","48","48","16","70","39","34","38","19","46","44","35","51","0","37","44","49","41","83","44","15","39","10","0","0","0","0","26","4","0","0","0","0","0","0","0"
